id,wav_path,language,split,duration_seconds,actual_duration_s,sample_rate,channels,bit_depth,snr_db,ecapa_similarity,rms_dbfs,peak_dbfs,clipping_pct,active_ratio,devanagari_ratio,latin_ratio,emotion,style,source_speaker_name,source_title,source_channel,source_url,text,flags,flag_count
D-_0I5zTFgo_c0026_s000,extracted_wav/hindi_train/hindi_train_00073.wav,hi-IN,train,5.5,5.5,24000,1,16,19.257088637383852,0.8304958939552307,-23.660874649873325,-4.199391726130247,0.0,0.01639344262295082,0.0,1.0,neutral,formal,Manoj Bajpayee,Manoj Bajpayee NSD Days Monologue,Unknown,https://www.youtube.com/watch?v=D-_0I5zTFgo,The team at Jaguar Land Rover led by Ralph who has been the leader that I think deserves this award more than me and the team at Jaguar Land Rover.,language_mismatch_hi_label_mostly_latin;low_snr;weak_speaker_match;likely_read_or_voiceover_source;too_much_silence_or_low_activity,5
dpbp_D-_0I5zTFgo_c0006_s000,extracted_wav/hindi_train/hindi_train_00036.wav,hi-IN,train,4.659583333333333,4.659583333333333,24000,1,16,21.66333279508102,0.8472904562950134,-23.25802419083455,-1.7385278907790858,0.0,0.0967741935483871,0.08695652173913043,0.9130434782608695,concerned,conversational,Manoj Bajpayee,Manoj Bajpayee NSD Days Monologue,Unknown,https://www.youtube.com/watch?v=D-_0I5zTFgo,तो दे annoyance of some of my colleagues on that company.,language_mismatch_hi_label_mostly_latin;weak_speaker_match;likely_read_or_voiceover_source;too_much_silence_or_low_activity,4
D-_0I5zTFgo_c0022_s000,extracted_wav/hindi_train/hindi_train_00044.wav,hi-IN,train,4.3,4.3,24000,1,16,19.896071307799836,0.8570031523704529,-23.67513833160462,-3.0982664075284743,0.0,0.03496503496503497,0.0,1.0,neutral,conversational,Manoj Bajpayee,Manoj Bajpayee NSD Days Monologue,Unknown,https://www.youtube.com/watch?v=D-_0I5zTFgo,And I just had no way to say that I knew what we were going to do. So finally I...,language_mismatch_hi_label_mostly_latin;low_snr;likely_read_or_voiceover_source;too_much_silence_or_low_activity,4
D-_0I5zTFgo_c0021_s000,extracted_wav/hindi_train/hindi_train_00052.wav,hi-IN,train,5.48,5.48,24000,1,16,20.261396378423917,0.8469889760017395,-23.65739806487499,-3.7234824544652594,0.0,0.03296703296703297,0.0,1.0,concerned,formal,Manoj Bajpayee,Manoj Bajpayee NSD Days Monologue,Unknown,https://www.youtube.com/watch?v=D-_0I5zTFgo,Are we going to close down some of the plants that we have hardly using the capacity?,language_mismatch_hi_label_mostly_latin;weak_speaker_match;likely_read_or_voiceover_source;too_much_silence_or_low_activity,4
D-_0I5zTFgo_c0012_s000,extracted_wav/hindi_train/hindi_train_00059.wav,hi-IN,train,4.38,4.38,24000,1,16,20.19383794602078,0.8387997150421143,-24.37065682506649,-2.5320608272041456,0.0,0.03424657534246575,0.0,1.0,neutral,formal,Manoj Bajpayee,Manoj Bajpayee NSD Days Monologue,Unknown,https://www.youtube.com/watch?v=D-_0I5zTFgo,The experience I had with Jaguar Land Rover when we bought it.,language_mismatch_hi_label_mostly_latin;weak_speaker_match;likely_read_or_voiceover_source;too_much_silence_or_low_activity,4
dpbp_D-_0I5zTFgo_c0005_s000,extracted_wav/hindi_train/hindi_train_00066.wav,hi-IN,train,5.079,5.079,24000,1,16,21.478499070728255,0.8239643573760986,-23.543064479019762,-1.9207892174700414,0.0,0.11834319526627218,0.0,1.0,neutral,conversational,Manoj Bajpayee,Manoj Bajpayee NSD Days Monologue,Unknown,https://www.youtube.com/watch?v=D-_0I5zTFgo,Took most of my attention that was Tata Engineering which became Tata Motors.,language_mismatch_hi_label_mostly_latin;weak_speaker_match;likely_read_or_voiceover_source;too_much_silence_or_low_activity,4
dpbp_D-_0I5zTFgo_c0010_s000,extracted_wav/hindi_val/hindi_val_00001.wav,hi-IN,validation,9.79975,9.79975,24000,1,16,23.103956865160427,0.9169260263442993,-24.757316950398888,-1.7004020631968244,0.0,0.17484662576687116,0.0,1.0,neutral,conversational,Manoj Bajpayee,Manoj Bajpayee NSD Days Monologue,Unknown,https://www.youtube.com/watch?v=D-_0I5zTFgo,It it was just a life of its own. So today to share this platform with icons of the industry is something that,language_mismatch_hi_label_mostly_latin;possibly_ends_mid_sentence;likely_read_or_voiceover_source;too_much_silence_or_low_activity,4
2MAAD24kyBY_c0008_s008,extracted_wav/english_train/english_train_00063.wav,en-IN,train,29.9,29.9,24000,1,16,25.88407462656137,0.9521836638450623,-22.831845806612783,-4.767363056681439,0.0,0.41967871485943775,0.0,1.0,excited,expressive,Sadhguru,Sadhguru Motivation Monologue,Sadhguru,https://www.youtube.com/watch?v=2MAAD24kyBY,"and slowly turned around in about six hours time. Why I am saying this is, there is something here which is the source of creation. Otherwise, this cannot be throbbing with the food that you eat. It cannot become like this. There is something here which is the very source of creation. If you dip into it, you are the highest level of intelligence, you are the highest level of experience, you are the most beautiful creature on the planet. I want to say the twenty twenty five.",possibly_starts_mid_sentence;likely_read_or_voiceover_source;too_much_silence_or_low_activity,3
2MAAD24kyBY_c0007_s004,extracted_wav/english_val/english_val_00000.wav,en-IN,validation,29.9,29.9,24000,1,16,27.38406289553156,0.9661130309104919,-23.175916373472404,-5.060926234018712,0.0,0.5622489959839357,0.0,1.0,neutral,conversational,Sadhguru,Sadhguru Motivation Monologue,Sadhguru,https://www.youtube.com/watch?v=2MAAD24kyBY,"loneliness. Then the only way out is alcohol and drugs. And once you go into this, there are a whole lot of people who have had many arguments with me, they're quoting from this guy and that guy. I said you say what you want. I know what happens to you when you do certain things. One big thing is the marijuana. But it's a plant. So is datura. Why don't you have it? Everything comes from a plant or the planet. Have you found",possibly_starts_mid_sentence;possibly_ends_mid_sentence;likely_read_or_voiceover_source,3
D-_0I5zTFgo_c0032_s000,extracted_wav/hindi_train/hindi_train_00001.wav,hi-IN,train,9.3,9.3,24000,1,16,20.521417329865752,0.9090750813484192,-24.00338724260948,-1.6917018335651877,0.0,0.05806451612903226,0.0,1.0,happy,formal,Manoj Bajpayee,Manoj Bajpayee NSD Days Monologue,Unknown,https://www.youtube.com/watch?v=D-_0I5zTFgo,I accept this on your on their behalf and thank you sir for making this possible. It's a great great honor for me. Thank you.,language_mismatch_hi_label_mostly_latin;likely_read_or_voiceover_source;too_much_silence_or_low_activity,3
