id,language,raw_asr_text,final_asr_text,asr_char_similarity,asr_word_f1
Ju9ONXG-KdA_c0018_s000,en-IN,"English is not only about learning grammar, walkabulari or watching random videos on YouTube, if you are doing that then let me tell you are doing a wrong thing. English is the game of mindset plus skill set. Now what is the mindset? The theme of our today's talk, courage to begin, because courage is always important and then content yes or no all of you. You have to create that mindset.","English is not only about learning grammar, vocabulary or watching random videos on YouTube. If you are doing that, then let me tell you you are doing a wrong thing. English is the game of mindset plus skill set. Now what is the mindset? The theme of our today's talk. Courage to begin. Because courage is always important then content. Yes or no, all of you. You have to create that mindset.",0.11826544021024968,0.9726027397260274
SAc_Z4qAs3E_c0007_s000,en-IN,"are instructed to hold me in a crisp tone. Sanayaji, yabim, mahi-launkili, alakse training, naihoti, meaning that I have to do every single bit of activity which my other male colleagues have to do. We'll fair enough and so in began, rumbling down his writing horses, handling guns, lobbying grenades, But by God it was not easy.","are instructor told me in a crisp tone. Sanialji, yabe, mahi lakili, alakse training, naihoti. Meaning that I have to do every single bit of activity which my other male colleagues have to do. We'll fair enough and so in began. Rapping down his writing horses, handling guns, Lobbing grenades, but by God it was not easy.",0.6549520766773163,0.8717948717948718
sKvMxZ284AA_c0014_s001,en-IN,"Well, the first day of my college was the worst day of my college to be frank because what happened when I entered the college, there was chemistry lab that was going on. I entered the class and my mom was taking lab, she asked me, okay, you go and do titration. titration. In my face, there was no lab. I do not know the meaning of titration in Hindi. So I was standing there, blank. Again, I looked at mom. She'll me go there and pick up the test tube.","Well, the first day of my college was the worst day of my college to be frank because what happened when I entered the college, there was chemistry lab that was going on. I entered the class and my mom was taking lab, she asked me, okay, you go into titration. titration. In my face, there was no lab. I do not know the meaning of titration in Hindi. So I was standing there, black. Again, I looked at mom. See I'll go there and pick up the test tube.",0.6277205040091638,0.9508196721311475
kcW4ABcY3zI_c0005_s000,en-IN,"So we need to get Master Craftsman invited, why is it with a country at 1.2 billion people that we should have a nationwide shortage of missions, of plumbers, of certified licrissions. We need to get more vocational training into the system. We're doing that. We're now rolling out the whole concept of community colleges so that kids can go in.","So we need to get Master Craftsman and why is it with a country at 1.2 billion people that we should have a nationwide shortage of missions, of plumbers, of certified licrissions. We need to get more vocational training into the system. We're doing that. We're now rolling out the whole concept of community colleges so that kids can go in.",0.20833333333333334,0.984375
dpbp_9Q7Zl3OI4us_c0034_s001,en-IN,"Isn't that what we are extra on kids in an education system which is actively holding them at bay? Because I don't know about you. I would like to live in a future, a future where I walk into a class and ask them, So how many of you work up to day morning and decided to learn something new? And instead of five hands going up, I'd like to have at least six hands going up. Thank you.","Isn't that what we are trying to get in an education system which is actively holding them at bay? Because I don't know about you. I would like to live in a future. A future that I walk into a class and ask them, So how many of you work up to day morning and decided to learn something new? And instead of five hands going up, I'd like to have at least six hands going up. Thank you.",0.07723035952063914,0.9512195121951219
Ju9ONXG-KdA_c0013_s002,en-IN,"So, I joined him in his institute, I started to work part-time and in that period around about 5 to 6 years, I have read a lot of books. I have read more than 50 plus autobiographies, I have read many self-help books and I have thought all the standard of students. For 2nd 3rd 4th 5th 6th 7th 8th 9th and 11th 12th science busy everything. Okay. And...","So, I joined him in his institute. I started to work part-time. And in that period around about five to six years, I have read a lot of books. I have read more than 50 plus autobiographies. I have read many self-help books. And I have taught all the standard of students. For second, third, fourth, fifth, sixth, seven, eight, nine, ten, eleven, twelve, science, busy, everything. Okay.",0.7943262411347518,0.7943262411347518
DafERYOvxEw_c0028_s000,hi-IN,"یا اپنی گھرٹی آسپس ٹین چار گری دچھوں کی پڑھائی کے خرچہ ہوتھا لی جیے اُن سے ہفتے میں بر مزگے رہی ہے اور آپ پائیں گے آپ کے چہرے پر پہلے سے جا چمکہ نیشورو بھی ہے اور آپ کو کمپیڈیشان پرشانی وہ جنفرط کا مال دن بروطہ ہے اس کو ہرادوں, اس کو ہرادوں اس سے مقلی ملنے لگی ہے اور آپ انڈرسک بہتر انسان بنڈے کے پر ہوتس میں آ رہے","یا اپنی گھرٹی آسپس ٹین چار گری دچھوں کی پڑھائی کے خرچہ ہوتھا لی جی اُن سے ہفتے میں بر مزگے رہی ہے اور آپ پائیں گے آپ کے چہرے پر پہلے سے جا چمکہ نی شروع ہوئی ہے اور آپ کو کمپیڈیشان پرشانی وہ جنفرط کا مال دن بروطہ ہے اس کو ہرادوں, اس کو ہرادوں اس سے مقلی ملنے لگی ہے اور آپ انڈرسک بہتر انسان بنڈے کے پر نوصہ میں آ رہے",0.49122807017543857,0.9403973509933775
a7TJzv_1icU_c0032_s005,hi-IN,"آپ آپ جیر آپ بتایے 5 لیٹر کا گیلم دیکھیں ایتنا بڑا ہوتا ہے احملوں کا بلٹ احملوں کا سوچھ رہا جو اور ہوت ہوتا ہے اور کب کے براپورتنا چھوتا آپ کے منم میں کس بڑھا ہی ہوتا ہے جو ایتچوی بوتلوہ میں 300 گرام کا ہوتا ہے 300 گرام میں زو جہ 5,000 گرام یعنی 5,000 امیل یعنی 5 لیٹر کچھ ہا ہا ہا ہا ہا ہا ہا ہا تو رہوں نمبر ہے ایک لو کنو پھر کی لرہا ہے میں پھر کی نہیں لرہا ہے سما جیدھان سے کئی سی ہوتا ہے ایک دن باری کی سے سما جیدھا","آپ آپ جرا بتائیے 5 L کا گیلم دیکھیں ایتنا بڑا ہوتا ہے احملوں کا بلٹ احملوں کا سوچھ رہا جو اور ہوت ہوتا ہے اور کب کے براپر ابرتنا چھوتا آپ کے منم میں کس بل نہیں ہوتا ہے جو ایتچوی بوتلوہ میں 300 gm کا ہوتا ہے ہوتا ہے 300 gm میں زجا 5,000 gm یعنی 5,000 ml یعنی 5 L کچھ لیٹر کچھ شہاہ دیا تو رہوں نمبر ہے کلکوں نے پھر کی لرہا ہے نے پھر کی نہیں لرہا ہے سما جیدھان سے کوئی سی ہوتا ہے ایک دن باری کی سے سما جیدھا",0.24301336573511542,0.7647058823529411
DafERYOvxEw_c0026_s000,hi-IN,اس نے بہی پہلے گذاری شامسپ سے یہ ہے کسی یہ ہوتے گر کچھ ایسا کریٹیو شاک پانلیزی ہے کدھیں میں ایک گھنٹا مصی سے گذارسا کیا ہوں اس میں وہ کچھ بھی وہ فیلم دیکھنی سے لیکن کویتا لیکنے تک پینٹین کرنے تک کچھ بھی وہ گانا ہوگانا سیگھے سیگھیں اسم برمے سیگھے تبلا بجانا سیگھے ہرمونیم سیگھے گیٹار سیگھے کچھ ایسا جو کرتے ویٹھ دو بجانے کا منکری,اس نے بہیری گذاری شامسپ سے یہ ہے کسی یہ ہوتے ہوگر کچھ ایسا کرییٹیو شاک پانلیزی ہے کدھیں میں این گھنٹا مصی سے گذارسا کیوں اس میں وہ کچھ بھی ہو فیلم دیکھنی سے لیکھ کر کویتا لیکھنے تک پینٹین کرنے تک کچھ بھی ہو گانا ہو گانا سیھ سینگ سیھے اسم برمے سیھے تبلا بجانا سیھے ہرمونیم سیھے گیٹار سیھے کچھ ایسا جو کربل و دوب جانے کا منکری,0.08588957055214724,0.6808510638297872
jV4Pzz0Wz0Y_c0037_s001,hi-IN,"جو طارکیک ویکٹھی ہوگا چھاہی و آستیکھو, چھاہی ناستیکھو وہ یہ مان کے جلے گا کہ انت میں کچھ اور سابیت ہوزک پہ ہے اور ایک تو نا عپن میندھ ہوگا کہ کچھ اور سابیت ہوگا تو مان لیں گے تبتا کس فشفاؤسے سچر لیں کوئی بھڑای دئی","יש Kapri Saving Changeraudience is his final proof. He shows his wealth and strength to refine this information. Whether this is the investors of EyforS olvidation, if my fortune is fixed, its time will現在假期 transfers. In this case what we offer is but if it continues,",0.0,0.0
