final_path,language,source_title,previous_emotion,emotion,style,emotion_confidence,emotion_score_margin,emotion_review_required,emotion_evidence,normalized_transcript
data/final/dpbp_jV4Pzz0Wz0Y_c0004_s000.wav,hi-IN,Vikas Divyakirti | Drishtikon,concerned,concerned,formal,0.25,0.1,True,"['neutral+0.35:default prior', 'formal+0.8:source register=formal', 'neutral+0.25:source emotion hint=neutral', 'concerned+0.9:source emotion hint=thoughtful', 'angry+0.35:1 transcript/source keyword hits', 'excited+0.35:fast speech_rate=2.89wps', 'excited+0.25:high activity/loudness active=0.74,rms=-21.0', 'excited+0.15:high peak=-1.9dBFS']",तार्किक रूप से मेरे ख्याल से ये दोनों ही व्यक्ति गलतफहमी के शिकार हैं।
data/final/9Q7Zl3OI4us_c0021_s001.wav,en-IN,The 3 Myths of the Indian Education System,sarcastic,sarcastic,expressive,0.2549,0.4,True,"['neutral+0.35:default prior', 'neutral+0.25:source register=conversational', 'neutral+0.25:source emotion hint=neutral', 'sarcastic+0.9:source emotion hint=sarcastic', 'happy+0.35:1 transcript/source keyword hits', 'sad+0.35:1 transcript/source keyword hits', 'angry+0.35:1 transcript/source keyword hits', 'formal+0.7:2 transcript/source keyword hits']","But then, yes, I'm not, don't get me wrong. I do believe that memorizing a few things is important because that's what education system is about, right? Memorizing. It's not about understanding. It's about how good you remember things. Well, then that has its disadvantage as well. Just memorizing and not fully understanding. So for this, I have to tell you a bit about my college. So I teach in an engineering college. An engineering is a four-year undergraduate degree."
data/final/9Q7Zl3OI4us_c0008_s001.wav,en-IN,The 3 Myths of the Indian Education System,sarcastic,sarcastic,expressive,0.2653,0.05,True,"['neutral+0.35:default prior', 'neutral+0.25:source register=conversational', 'neutral+0.25:source emotion hint=neutral', 'sarcastic+0.9:source emotion hint=sarcastic', 'happy+0.35:1 transcript/source keyword hits', 'formal+1.2:4 transcript/source keyword hits', 'concerned+0.35:1 transcript/source keyword hits', 'sarcastic+0.35:1 transcript/source keyword hits']","I come back to the original question. What is the point of the education system in India? So I don't know the answer to this question. It has bugged me for a while. But then I can give you, many of you might have asked the same question as well. So I can give you a fresh perspective, which is why I named this talk three myths of the Indian education system. Why three? Because it felt like an auspicious number."
data/final/B9dm0PC0_b8_c0023_s000.wav,en-IN,Broken English,neutral,neutral,conversational,0.2674,0.05,True,"['neutral+0.35:default prior', 'neutral+0.25:source register=conversational', 'neutral+0.25:source emotion hint=neutral', 'neutral+0.25:source emotion hint=casual', 'sad+0.35:1 transcript/source keyword hits', 'excited+0.35:1 transcript/source keyword hits', 'formal+0.35:1 transcript/source keyword hits', 'concerned+0.35:1 transcript/source keyword hits']","The truth is, there are no superheroes. There's just us. We are the ones that we have been waiting for. So the third and final lesson that I'd love to share with you is that there are critical moments in your life where you have to make a decision about who you are. And in those moments, let your heart guide you. It was 2012. I had graduated from Stanford. I had an offer to join McKinsey and Company, which was a dream job for any Stanford graduate."
data/final/9Q7Zl3OI4us_c0007_s000.wav,en-IN,The 3 Myths of the Indian Education System,sarcastic,sarcastic,expressive,0.2737,0.2,True,"['neutral+0.35:default prior', 'neutral+0.25:source register=conversational', 'neutral+0.25:source emotion hint=neutral', 'sarcastic+0.9:source emotion hint=sarcastic', 'happy+0.35:1 transcript/source keyword hits', 'formal+1.05:3 transcript/source keyword hits', 'concerned+0.35:1 transcript/source keyword hits', 'sarcastic+0.35:1 transcript/source keyword hits']","But then what else is education good for? And I got my answer, a lot of people say this, it is to create the best minds in their respective fields. So, and I think that's not far from the truth. I had an opportunity to speak to Dr. Jan C. James. She's the former Vice-Chancellor of Mahatma Gandhi University. She said, and I quote, the best in India will always be the best in the world when it comes to education."
data/final/jV4Pzz0Wz0Y_c0028_s003.wav,hi-IN,Vikas Divyakirti | Drishtikon,concerned,concerned,formal,0.2754,0.1,True,"['neutral+0.35:default prior', 'formal+0.8:source register=formal', 'neutral+0.25:source emotion hint=neutral', 'concerned+0.9:source emotion hint=thoughtful', 'excited+0.35:fast speech_rate=3.54wps', 'excited+0.25:high activity/loudness active=0.72,rms=-22.5', 'excited+0.15:high peak=-1.5dBFS']","کہ پیکٹیگلی مانیں گے, سے دھانتیں گروپ سے مجھانتیں گے سابیت نہیں ہو سکتا, یہ مانیں گے, کش لوگ سندہیں میں رہے ہیں, جیسے David Hume رہا, سندہی ہوا دیواتیں, وہ بھی اچھے ہیں, وہ خریج نہیں کر رہے ہیں, صرف یہ کہٹیگوں سے دوٹ ہے, میں سکپٹکل ہوں, مجھے کلیریٹی نہیں ہیں, اور جب کا کلیریٹی نہ ملے میں کیسے مانیں گے."
data/final/jV4Pzz0Wz0Y_c0018_s000.wav,hi-IN,Vikas Divyakirti | Drishtikon,concerned,concerned,formal,0.2754,0.1,True,"['neutral+0.35:default prior', 'formal+0.8:source register=formal', 'neutral+0.25:source emotion hint=neutral', 'concerned+0.9:source emotion hint=thoughtful', 'excited+0.35:fast speech_rate=4.12wps', 'excited+0.25:high activity/loudness active=0.75,rms=-21.5', 'excited+0.15:high peak=-1.5dBFS']","कुछ लोग कहते हैं कि जब तक साबित नहीं होगा, तब तक हम धार्मिक जीवन नहीं जिएंगे। कुछ कहते हैं ना,."
data/final/9Q7Zl3OI4us_c0029_s000.wav,en-IN,The 3 Myths of the Indian Education System,sarcastic,sarcastic,expressive,0.2826,0.4,True,"['neutral+0.35:default prior', 'neutral+0.25:source register=conversational', 'neutral+0.25:source emotion hint=neutral', 'sarcastic+0.9:source emotion hint=sarcastic', 'happy+0.35:1 transcript/source keyword hits', 'formal+0.7:2 transcript/source keyword hits', 'concerned+0.7:2 transcript/source keyword hits', 'sarcastic+0.35:1 transcript/source keyword hits']","So, it's about making a mistake. And then learning from it and making another mistake and then learning from that and so on and so forth until maybe if you get it right. Without any formal education in arts, the kids won't have anywhere to go. In fact, I have a student. I have a student who in order to impress a girl in his class learned a song in the shortest duration of time. That is how creative kids can get. depending on rewards of course."
data/final/dpbp_jV4Pzz0Wz0Y_c0020_s000.wav,hi-IN,Vikas Divyakirti | Drishtikon,concerned,concerned,formal,0.2879,0.1,True,"['neutral+0.35:default prior', 'formal+0.8:source register=formal', 'neutral+0.25:source emotion hint=neutral', 'concerned+0.9:source emotion hint=thoughtful', 'excited+0.35:fast speech_rate=3.30wps', 'excited+0.25:high activity/loudness active=0.70,rms=-22.7']","एक बहुत प्रसिद्ध वैज्ञानिक था, आप तो Science के background के व्यक्ति हैं शायद। Blaise Pascal आपने नाम सुना होगा। जिसके नाम पे pressure की unit आप लोग पढ़ते होंगे Physics में। उसी Pascal की बात कर रहा हूं। 17th century France का वैज्ञानिक था। Pascal के सामने भी 1-2 विधा थी। Pascal mathematician भी था, physicist भी था और एक धार्मिक व्यक्ति भी था।"
data/final/jV4Pzz0Wz0Y_c0032_s000.wav,hi-IN,Vikas Divyakirti | Drishtikon,concerned,concerned,formal,0.2879,0.1,True,"['neutral+0.35:default prior', 'formal+0.8:source register=formal', 'neutral+0.25:source emotion hint=neutral', 'concerned+0.9:source emotion hint=thoughtful', 'excited+0.35:fast speech_rate=3.36wps', 'excited+0.25:high activity/loudness active=0.72,rms=-21.8']",پر جہاں آرگومنٹس کی بات کریں گے تو اس کو بچانہ بڑا مشکل ہویا تھا بہا پر کیوں کہ اس نے ایک دفیقل تارگومنٹسیں کہ سگونہ ایشفر کو بچانہ بڑا مشکل ہے اور لگھا سبی دھرموں میں ایشفر سگون ہے.
