review_id,clip_id,language,duration_s,emotion,style,emotion_review_required,ecapa_similarity,snr_db,source_title,source_url,transcript,final_audio_url,raw_before_audio_url
R01,dpbp_jV4Pzz0Wz0Y_c0004_s000,hi-IN,4.84,concerned,formal,True,0.8598530888557434,53.739003176571096,Vikas Divyakirti | Drishtikon,https://www.youtube.com/watch?v=jV4Pzz0Wz0Y,तार्किक रूप से मेरे ख्याल से ये दोनों ही व्यक्ति गलतफहमी के शिकार हैं।,https://huggingface.co/datasets/Rushabh3/sarvam-indian-tts-60min/resolve/main/review_form_37/final/dpbp_jV4Pzz0Wz0Y_c0004_s000.wav?download=true,https://huggingface.co/datasets/Rushabh3/sarvam-indian-tts-60min/resolve/main/review_form_37/raw/dpbp_jV4Pzz0Wz0Y_c0004_s000_raw.wav?download=true
R02,jV4Pzz0Wz0Y_c0019_s000,hi-IN,6.2,concerned,formal,True,0.8637712001800537,53.16436126978306,Vikas Divyakirti | Drishtikon,https://www.youtube.com/watch?v=jV4Pzz0Wz0Y,"जब तक साबित नहीं होगा कि ईश्वर नहीं है, हम मान के चलेंगे कि है। क्योंकि मानने से हमें मनोवैज्ञानिक फायदा होता है।",https://huggingface.co/datasets/Rushabh3/sarvam-indian-tts-60min/resolve/main/review_form_37/final/jV4Pzz0Wz0Y_c0019_s000.wav?download=true,https://huggingface.co/datasets/Rushabh3/sarvam-indian-tts-60min/resolve/main/review_form_37/raw/jV4Pzz0Wz0Y_c0019_s000_raw.wav?download=true
R03,dpbp_jV4Pzz0Wz0Y_c0034_s001,hi-IN,11.46,formal,formal,True,0.8674964904785156,53.36935769609564,Vikas Divyakirti | Drishtikon,https://www.youtube.com/watch?v=jV4Pzz0Wz0Y,में आपके प्रश्न का जवाब यह है।,https://huggingface.co/datasets/Rushabh3/sarvam-indian-tts-60min/resolve/main/review_form_37/final/dpbp_jV4Pzz0Wz0Y_c0034_s001.wav?download=true,https://huggingface.co/datasets/Rushabh3/sarvam-indian-tts-60min/resolve/main/review_form_37/raw/dpbp_jV4Pzz0Wz0Y_c0034_s001_raw.wav?download=true
R04,jV4Pzz0Wz0Y_c0027_s001,hi-IN,5.1,concerned,formal,True,0.8724198937416077,37.30871416644717,Vikas Divyakirti | Drishtikon,https://www.youtube.com/watch?v=jV4Pzz0Wz0Y,"تو پھر میں کیا دیکھوں گa, کو پرگمٹیک فیلوز فیلوز فیلوز فیلوز پرگمٹیزم کا مطلب ہے کہ جو ویہا بھاریٹ روز سے فیدھے میں ہوسکு مانیں گے.",https://huggingface.co/datasets/Rushabh3/sarvam-indian-tts-60min/resolve/main/review_form_37/final/jV4Pzz0Wz0Y_c0027_s001.wav?download=true,https://huggingface.co/datasets/Rushabh3/sarvam-indian-tts-60min/resolve/main/review_form_37/raw/jV4Pzz0Wz0Y_c0027_s001_raw.wav?download=true
R05,dpbp_jV4Pzz0Wz0Y_c0012_s000,hi-IN,7.16,concerned,formal,True,0.8768386840820312,44.080219225482665,Vikas Divyakirti | Drishtikon,https://www.youtube.com/watch?v=jV4Pzz0Wz0Y,"और जिन लोगों ने ईश्वर को साबित करने की कोशिश की है, मैंने उनके प्रमाण पढ़ लिए, उनके arguments पढ़ लिए, वो भी बहुत meaningful है नहीं।",https://huggingface.co/datasets/Rushabh3/sarvam-indian-tts-60min/resolve/main/review_form_37/final/dpbp_jV4Pzz0Wz0Y_c0012_s000.wav?download=true,https://huggingface.co/datasets/Rushabh3/sarvam-indian-tts-60min/resolve/main/review_form_37/raw/dpbp_jV4Pzz0Wz0Y_c0012_s000_raw.wav?download=true
R06,DafERYOvxEw_c0028_s000,hi-IN,24.3,concerned,formal,True,0.9465239644050598,51.08424783944817,कैसे अपनी ज़िंदगी को बेहतर बनाएँ,https://www.youtube.com/watch?v=DafERYOvxEw,"या अपने घर के आस पास 3-4 गरीब बच्चों की पढ़ाई का खर्चा उठा लीजिए। उनसे हफ्ते में एक बार मिलते रहिए और आप पाएंगे आपके चेहरे पर पहले से ज्यादा चमक आनी शुरू हो गई है और आपको competition, परेशानी, वो जो नफरत का माहौल दिन भर होता है, इसको हरा दूं, उसको हरा दूं, इस सब से मुक्ति मिलने लगी है और आप अंदर से एक बेहतर इंसान बनने के process में आ रहे हैं।",https://huggingface.co/datasets/Rushabh3/sarvam-indian-tts-60min/resolve/main/review_form_37/final/DafERYOvxEw_c0028_s000.wav?download=true,https://huggingface.co/datasets/Rushabh3/sarvam-indian-tts-60min/resolve/main/review_form_37/raw/DafERYOvxEw_c0028_s000_raw.wav?download=true
R07,dpbp_a7TJzv_1icU_c0016_s000,hi-IN,10.27,formal,formal,True,0.9254922270774841,28.800898422392038,Heart Anatomy,https://www.youtube.com/watch?v=a7TJzv_1icU,"Vena Cava। Vena Cava को हम क्या कहते हैं? Sorry, महासिरा। Vena Cava को क्या कहेंगे? महासिरा। ये शरीर से blood को लेकर आता है। और ये क्या करता है? ये...",https://huggingface.co/datasets/Rushabh3/sarvam-indian-tts-60min/resolve/main/review_form_37/final/dpbp_a7TJzv_1icU_c0016_s000.wav?download=true,https://huggingface.co/datasets/Rushabh3/sarvam-indian-tts-60min/resolve/main/review_form_37/raw/dpbp_a7TJzv_1icU_c0016_s000_raw.wav?download=true
R08,dpbp_a7TJzv_1icU_c0020_s000,hi-IN,19.68,formal,formal,True,0.9301192760467529,30.78118995182038,Heart Anatomy,https://www.youtube.com/watch?v=a7TJzv_1icU,अब बताइए ये तो आ गया आपका नीलय में sorry अलिंद में किस side वाले left side वाले अलिंद में आ गया। जब ये left side वाले अलिंद में आएगा तो ये इसको क्या करेगा नीचे गिरा देगा जैसे आप देखिए ना मान लीजिए ये marker है। और ये मेरे इस पे है तो इसको छोड़ेंगे ऐसे नीचे गिर गया यहां पे क्योंकि valve ये किधर खुल रहा है?,https://huggingface.co/datasets/Rushabh3/sarvam-indian-tts-60min/resolve/main/review_form_37/final/dpbp_a7TJzv_1icU_c0020_s000.wav?download=true,https://huggingface.co/datasets/Rushabh3/sarvam-indian-tts-60min/resolve/main/review_form_37/raw/dpbp_a7TJzv_1icU_c0020_s000_raw.wav?download=true
R09,DafERYOvxEw_c0026_s000,hi-IN,28.3,concerned,formal,False,0.9410485029220581,46.181280643042385,कैसे अपनी ज़िंदगी को बेहतर बनाएँ,https://www.youtube.com/watch?v=DafERYOvxEw,اس نے میری پہلے گذاری شام سب سے یہ ہے کسی یہ ہوتے روگر کچھ ایسا کرییٹیو شاک پانلیزی ہے کتے میں این گھنٹا مستی سے گذار سکیں اس میں وہ کچھ بھی وہ فیلم دیکھنی سے لیکھ کر کبیتا لیکھنے تک پینٹین کرنے تک کچھ بھی وہ گانا ہو گانا سیھ سیگنگ سیگھے اسوں پر میں سیگھے تبلا بجانا سیگھے ہرمونیم سیگھے گیٹار سیگھے کچھ ایسا جو کر پہل وہ دو بھی جانے کا منکرے.,https://huggingface.co/datasets/Rushabh3/sarvam-indian-tts-60min/resolve/main/review_form_37/final/DafERYOvxEw_c0026_s000.wav?download=true,https://huggingface.co/datasets/Rushabh3/sarvam-indian-tts-60min/resolve/main/review_form_37/raw/DafERYOvxEw_c0026_s000_raw.wav?download=true
R10,a7TJzv_1icU_c0005_s001,hi-IN,30.0,formal,authoritative,False,0.974993884563446,25.525738510007606,Heart Anatomy,https://www.youtube.com/watch?v=a7TJzv_1icU,ویڈیگلس اور یہ رائٹ ویڈیگلس دونوں same بنتے حالکی حالکی ہم کو یہ کریفس سے دیکھنے میں نہیں لگر ہے کی same ہوگا آپ اپنے ایس آپ سے جب بنائیں گے تو same بنائیں یہ جو بائیہ νیلہ ہوتا ہے یہ موتا ہوتا ہے اس کی جو پراث ہوتی ہے یہ کافی موتی ہوتی ہے اب ہی یہ جو دائینا νیلہ ہوتا ہے اس کی پراث پتلی ہوتی ہے جیس مگہ سے یہ ہات لگتا ہے کی جو کا ہو گا ہے تو لڑھے جب بناتے ہیں نہ توی اس کو جھکا دیتے ہیں اس لیگر بڑ ہو جاتا ہے یہ ہو گیاں آپ کا نیلے آئیے بھی نیلے نیچلہ ہی.,https://huggingface.co/datasets/Rushabh3/sarvam-indian-tts-60min/resolve/main/review_form_37/final/a7TJzv_1icU_c0005_s001.wav?download=true,https://huggingface.co/datasets/Rushabh3/sarvam-indian-tts-60min/resolve/main/review_form_37/raw/a7TJzv_1icU_c0005_s001_raw.wav?download=true
