id,language,raw_asr_text,final_asr_text,asr_char_similarity,asr_word_f1
9Q7Zl3OI4us_c0008_s001,en-IN,"I come back to the original question. What is the point of the education system in India? So I don't know the answer to this question. It has bugged me for a while. But then I can give you many of you might have asked the same question as well. So I can give you a fresh perspective, which is why I named this talk three minutes of the Indian education system. Why three? Because it felt like an auspicious number.","I come back to the original question. What is the point of the education system in India? So I don't know the answer to this question. It has bugged me for a while. But then I can give you many of you might have asked the same question as well. So I can give you a fresh perspective, which is why I named this talk three myths of the Indian education system. Why three? Because it felt like an auspicious number.",0.9900990099009901,0.9878048780487805
B9dm0PC0_b8_c0023_s000,en-IN,"The truth is, there are no superheroes. There's just us. We are the ones that we have been waiting for. So the third and final lesson that I'd love to share with you is that there are critical moments in your life where you have to make a decision about who you are. And in those moments, let your heart guide you. It was 2012. I had graduated from Stanford. I had an offer to join McKinsey and Company, which was a dream job for any Stanford graduate.","The truth is, there are no superheroes. There's just us. We are the ones that we have been waiting for. So the third and final lesson that I'd love to share with you is that there are critical moments in your life where you have to make a decision about who you are. And in those moments, let your heart guide you. It was 2012. I had graduated from Stanford. I had an offer to join McKinsey and Company, which was a dream job for any Stanford graduate.",1.0,1.0
Ju9ONXG-KdA_c0018_s000,en-IN,"English is not only about learning grammar, walkabulari or watching random videos on YouTube, if you are doing that then let me tell you are doing a wrong thing. English is the game of mindset plus skill set. Now what is the mindset? The theme of our today's talk, courage to begin, because courage is always important and then content yes or no all of you. You have to create that mindset.","English is not only about learning grammar, vocabulary or watching random videos on YouTube. If you are doing that, then let me tell you you are doing a wrong thing. English is the game of mindset plus skill set. Now what is the mindset? The theme of our today's talk. Courage to begin. Because courage is always important then content. Yes or no, all of you. You have to create that mindset.",0.11826544021024968,0.9726027397260274
SAc_Z4qAs3E_c0007_s000,en-IN,"are instructed to hold me in a crisp tone. Sanayaji, yabim, mahi-launkili, alakse training, naihoti, meaning that I have to do every single bit of activity which my other male colleagues have to do. We'll fair enough and so in began, rumbling down his writing horses, handling guns, lobbying grenades, But by God it was not easy.","are instructor told me in a crisp tone. Sanialji, yabe, mahi lakili, alakse training, naihoti. Meaning that I have to do every single bit of activity which my other male colleagues have to do. We'll fair enough and so in began. Rapping down his writing horses, handling guns, Lobbing grenades, but by God it was not easy.",0.6549520766773163,0.8717948717948718
dpbp_XSXq8CRKAtQ_c0001_s010,en-IN,"And finally, we have the Y question, which answers the cause and relationship between natural and human features. One example would be, YB find a particular place with high and another place with low population. So that's sort of question falls under this category. So if you see all these three questions answer the dynamic interaction between human beings and their physical environment. Now we're going to read about geography as an integrating discipline.","And finally, we have the Y question, which answers the cause and relationship between natural and human features. One example would be, YB find a particular place with high and another place with low population. So that sort of question falls under this category. So if you see all these three questions answer the dynamic interaction between human beings and their physical environment. Now we're going to read about geography as an integrating discipline.",0.9977777777777778,0.9933774834437086
eSa9YEA7aN4_c0007_s005,en-IN,"If you want to sound like a leader, if you want to sound as a speaker, the speakers are extremely important. So the next time when you speak, try to take a pause every once in a while that will make you confident and credible speaker. Next one is this body language. You know, in the field of communication skills, out of 100% only 7% are awards, 7% that's crazy like your words, Grammarin stuff.","If you want to sound like a leader, if you want to sound as a speaker, the speakers are extremely important. So the next time when you speak, try to take a pause every once in a while that will make your confident and credible speaker. Next one is this body language. You know, in the field of communication skills, out of 100% only 7% are awards, 7% that's crazy like your words, Grammar and stuff.",0.9752281616688396,0.9673202614379085
kcW4ABcY3zI_c0005_s001,en-IN,"have some academic learning, lots of vocational training, and at the end of two years, if they show tremendous academic promise they can go back to a university, if not, they leave with a two-year certificate, and they go off and do a useful trade in a society that is clamoring for these skills. So these are the kinds of changes that we are trying to bring about and move along. But there's a change that the government alone can't do. If you look at the need for research and innovation, you've heard a lot of that, I'm sure in the course of the TED talks. Research is something.","have some academic learning, lots of vocational training, and at the end of two years, if they show tremendous academic promise they can go back to a university, if not, they leave with a two-year certificate, and they go off and do a useful trade in a society that is clamoring for these skills. So these are the kinds of changes that we are trying to bring about and move along. But there's a change that the government alone can't do. If you look at the need for research and innovation, you've heard a lot of that, I'm sure in the course of the TED talks. Research is something.",1.0,1.0
sKvMxZ284AA_c0014_s001,en-IN,"Well, the first day of my college was the worst day of my college to be frank because what happened when I entered the college, there was chemistry lab that was going on. I entered the class and my mom was taking lab, she asked me, okay, you go and do titration. titration. In my face, there was no lab. I do not know the meaning of titration in Hindi. So I was standing there, blank. Again, I looked at mom. She'll me go there and pick up the test tube.","Well, the first day of my college was the worst day of my college to be frank because what happened when I entered the college, there was chemistry lab that was going on. I entered the class and my mom was taking lab, she asked me, okay, you go into titration. titration. In my face, there was no lab. I do not know the meaning of titration in Hindi. So I was standing there, black. Again, I looked at mom. See I'll go there and pick up the test tube.",0.6277205040091638,0.9508196721311475
9Q7Zl3OI4us_c0021_s000,en-IN,"And two, this is a question a lot of people ask, why am I studying differentiation? Why am I studying integration? What is the point of this? So what that's the thing with our syllabus. Unless a teacher tells you, you are not going to find out what it's useful. Ask any student whether they fully understand why they are studying, what they're studying. They really don't know. In most of them, at least, unless like I said, or, and this is a day and age when you can access anything on the internet, as clearly shown.","And two, this is a question a lot of people ask, why am I studying differentiation? Why am I studying integration? What is the point of this? So that's the thing with our syllabus. Unless a teacher tells you, you are not going to find out what it's used for. Ask any student whether they fully understand why they are studying, they really don't know. In most of them, at least, unless like I said, or, and this is a day and age when you can access anything on the internet, as clearly shown.",0.9641760491299898,0.9595959595959594
dpbp_B9dm0PC0_b8_c0021_s000,en-IN,"And that's what I did. It was one of the most profoundly moving experiences of my life. And the girl who I arranged all of this for was no other than 11-year-old Malala. What this taught me was that anything I wanted to change, I had the power to affect. Sitting in my dorm room at Stanford, sipping my jamba juice, I had found a way to affect the life of a girl in the SWAT Valley.","And that's what I did. It was one of the most profoundly moving experiences of my life. And the girl who I arranged all of this for was no other than 11-year-old Malala. What this taught me was that anything I wanted to change, I had the power to affect. Sitting in my dorm room at Stanford, sipping my jumper juice, I had found a way to affect the life of a girl in the Swat Valley.",0.9879839786381842,0.9875
