id,language,source_title,raw_path,final_path,raw_duration_s,final_duration_s,duration_delta_s,raw_sample_rate,final_sample_rate,raw_snr_db,final_snr_db,snr_delta_db,raw_clipping_pct,final_clipping_pct,clipping_delta_pct,raw_rms_dbfs,final_rms_dbfs,rms_delta_db,raw_peak_dbfs,final_peak_dbfs,raw_active_ratio,final_active_ratio,active_ratio_delta,raw_silence_ratio,final_silence_ratio,silence_ratio_delta,raw_lufs,final_lufs,lufs_delta,raw_lufs_target_error,final_lufs_target_error,lufs_target_error_delta,raw_loudness_range_db,final_loudness_range_db,loudness_range_delta_db,raw_crest_factor_db,final_crest_factor_db,crest_factor_delta_db,raw_dc_offset,final_dc_offset,dc_offset_abs_delta,raw_spectral_flatness,final_spectral_flatness,spectral_flatness_delta,raw_spectral_centroid_hz,final_spectral_centroid_hz,spectral_centroid_delta_hz,raw_low_freq_rumble_ratio,final_low_freq_rumble_ratio,low_freq_rumble_delta,raw_high_freq_noise_ratio,final_high_freq_noise_ratio,high_freq_noise_delta,raw_speech_band_energy_ratio,final_speech_band_energy_ratio,speech_band_energy_delta,raw_zero_crossing_rate,final_zero_crossing_rate,zero_crossing_rate_delta,acoustic_similarity,speaker_similarity_proxy,transcript_available,transcript_source,emotion_status,asr_char_similarity,asr_word_f1
9Q7Zl3OI4us_c0008_s001,en-IN,The 3 Myths of the Indian Education System,data/raw_segments/9Q7Zl3OI4us_c0008_s001_raw.wav,data/final/9Q7Zl3OI4us_c0008_s001.wav,24.3999375,24.4,6.249999999852207e-05,16000,24000,40.534827586321484,40.24014305503173,-0.2946845312897537,0.0,0.0,0.0,-28.19052247368346,-24.493768645159406,3.696753828524052,-6.657282190048503,-2.986892850737143,0.6346863468634686,0.6273062730627307,-0.007380073800737907,0.3653136531365314,0.3726937269372693,0.007380073800737907,-27.005371120730185,-23.510670927533237,3.494700193196948,4.005371120730185,0.5106709275332371,-3.494700193196948,41.14731753241432,40.843694064357905,-0.30362346805641494,21.533240283634957,21.506875794422264,-0.026364489212692632,-9.613374413900906e-07,-1.4782994171309341e-06,5.169619757408435e-07,0.04891527865560286,0.03365388853390038,-0.015261390121702481,1875.6140291908093,1857.6647980526184,-17.949231138190953,8.333926593131806e-05,8.529250384008221e-05,1.9532379087641542e-06,0.0005556052438212035,0.0005516403500343011,-3.964893786902418e-06,0.9993610554902476,0.9993630671461254,2.011655877875995e-06,0.15324543844200525,0.15298817885812582,-0.0002572595838794267,0.9982562249147447,0.9982562249147447,True,faster-whisper:base,heuristic_fallback_with_local_asr,0.9900990099009901,0.9878048780487805
B9dm0PC0_b8_c0023_s000,en-IN,Broken English,data/raw_segments/B9dm0PC0_b8_c0023_s000_raw.wav,data/final/B9dm0PC0_b8_c0023_s000.wav,29.0,29.0,0.0,16000,24000,44.04333535962266,43.44555157458332,-0.5977837850393399,0.0,0.0,0.0,-23.986774399675504,-24.584558184714837,-0.5977837850393328,-2.2369807488287448,-2.896146700056254,0.6915113871635611,0.6894409937888198,-0.0020703933747412417,0.3084886128364389,0.31055900621118016,0.0020703933747412417,-23.16943879900527,-23.78998182199862,-0.6205430229933491,0.16943879900527037,0.7899818219986194,0.6205430229933491,44.09875002681162,44.27607756578455,0.17732753897292497,21.74979365084676,21.688411484658584,-0.06138216618817793,1.8764364308324352e-07,9.703362125089798e-08,-9.061002183234554e-08,0.07506464195401091,0.05238397849068901,-0.022680663463321905,2089.0431199158284,2034.6520933183508,-54.39102659747755,5.077920287434447e-06,5.370705032335912e-06,2.9278474490146467e-07,0.002436972998813645,0.0021865109176107886,-0.0002504620812028564,0.9975579490808991,0.9978081183773568,0.000250169296457714,0.1831539200316979,0.1806662158902977,-0.0024877041414002043,0.9999613785020235,0.9999613785020235,True,faster-whisper:base,heuristic_fallback_with_local_asr,1.0,1.0
Ju9ONXG-KdA_c0018_s000,en-IN,Courage to begin,data/raw_segments/Ju9ONXG-KdA_c0018_s000_raw.wav,data/final/Ju9ONXG-KdA_c0018_s000.wav,28.6,28.6,0.0,16000,24000,54.0272781046794,54.79370837208925,0.7664302674098522,0.0,0.0,0.0,-18.219885277344993,-23.474019346029394,-5.254134068684401,-1.5774774192131549,-6.746157302439478,0.7555089192025184,0.7219307450157397,-0.033578174186778664,0.2444910807974816,0.2780692549842603,0.033578174186778664,-17.686859300440716,-22.921674581456244,-5.234815281015528,5.313140699559284,0.07832541854375563,-5.234815281015528,57.814562917535554,57.57579884787762,-0.2387640696579325,16.64240785813184,16.72786204358992,0.08545418545807948,9.679460858965254e-07,5.820747855659965e-07,-3.8587130033052883e-07,0.012603814103223096,0.009915376667528515,-0.0026884374356945812,1396.3359226387938,1384.0996938907833,-12.23622874801049,7.2149351055093835e-06,7.304999333661894e-06,9.006422815251044e-08,0.00015778056131901245,0.00015490367136473284,-2.8768899542796133e-06,0.9998350045035754,0.9998377913293016,2.7868257261864926e-06,0.10622301891079418,0.10630112206375839,7.810315296420678e-05,0.9973452597449699,0.9973452597449699,True,faster-whisper:base,heuristic_fallback_with_local_asr,0.11826544021024968,0.9726027397260274
SAc_Z4qAs3E_c0007_s000,en-IN,Be the CEO of your own life,data/raw_segments/SAc_Z4qAs3E_c0007_s000_raw.wav,data/final/SAc_Z4qAs3E_c0007_s000.wav,29.6,29.6,0.0,16000,24000,40.64343089750502,40.64901135477701,0.005580457271989303,0.0,0.0,0.0,-19.56255934094478,-25.050992174560264,-5.488432833615484,-3.487830001275119,-9.031827722132924,0.6724137931034483,0.6744421906693712,0.0020283975659228792,0.3275862068965517,0.32555780933062883,-0.0020283975659228792,-17.599971572625513,-23.108272208681925,-5.508300636056411,5.400028427374487,0.10827220868192455,-5.291756218692562,41.63315009392852,41.59791352476029,-0.0352365691682337,16.074729339669663,16.01916445242734,-0.05556488724232267,7.106162406302788e-07,4.0629962543109514e-07,-3.0431661519918363e-07,0.04151300097117746,0.02897261191744674,-0.01254038905373072,2039.0716602181155,2013.2899192496566,-25.781740968458962,0.0006450842608454925,0.000662323953608649,1.7239692763156467e-05,0.0018857951773021482,0.0018183685916202028,-6.742658568194542e-05,0.9974691205618524,0.9975193074547712,5.018689291880207e-05,0.185757268324784,0.1851629994600432,-0.0005942688647408156,0.9958232332031293,0.9958232332031293,True,faster-whisper:base,heuristic_fallback_with_local_asr,0.6549520766773163,0.8717948717948718
dpbp_XSXq8CRKAtQ_c0001_s010,en-IN,Geography NCERT,data/raw_segments/dpbp_XSXq8CRKAtQ_c0001_s010_raw.wav,data/final/dpbp_XSXq8CRKAtQ_c0001_s010.wav,25.634875,25.634875,0.0,16000,24000,27.995916353979098,27.82052752335485,-0.1753888306242466,0.0,0.0,0.0,-25.92219932196636,-23.598814498527286,2.323384823439074,-2.557998951389691,-1.5997562879979388,0.45550351288056207,0.4449648711943794,-0.010538641686182681,0.544496487119438,0.5550351288056206,0.01053864168618257,-26.09262323315978,-23.817064761813725,2.2755584713460557,3.092623233159781,0.8170647618137252,-2.2755584713460557,25.787125552555622,25.640013781567244,-0.1471117709883778,23.36420037057667,21.99905821052935,-1.36514216004732,-3.198483376947115e-05,-3.838321916810615e-05,6.398385398634998e-06,0.024769875065498714,0.016545317678707164,-0.00822455738679155,1652.8368094524908,1635.5715147059868,-17.26529474650397,0.10410930373751337,0.11157395973578779,0.007464655998274422,0.0038194146560170113,0.0037305020798700903,-8.891257614692099e-05,0.8920712816064694,0.8846955381843421,-0.007375743422127323,0.10066325884507481,0.10027847860816708,-0.0003847802369077308,0.9990716402068873,0.9990716402068873,True,pipeline_asr,heuristic_fallback_with_transcript,0.9977777777777778,0.9933774834437086
eSa9YEA7aN4_c0007_s005,en-IN,Speak Like a Pro,data/raw_segments/eSa9YEA7aN4_c0007_s005_raw.wav,data/final/eSa9YEA7aN4_c0007_s005.wav,29.7,29.7,0.0,16000,24000,40.54189102061849,40.665201114548815,0.12331009393032133,0.0,0.0,0.0,-15.615698575849677,-22.795331030973248,-7.179632455123571,-1.232239517533463,-8.009443803488205,0.6757575757575758,0.6707070707070707,-0.005050505050505083,0.3242424242424242,0.3292929292929293,0.005050505050505083,-15.634676749017869,-22.814477313071745,-7.179800564053876,7.365323250982131,0.18552268692825535,-7.179800564053876,39.657864974889655,39.32477740051171,-0.33308757437794867,14.383459058316213,14.785887227485045,0.4024281691688323,2.8851056339764834e-06,1.4228692359795875e-06,-1.462236397996896e-06,0.03206974359095057,0.02213247156315598,-0.00993727202779459,1683.003346881249,1638.7291646066735,-44.27418227457542,2.262170005682948e-05,2.2939846408630855e-05,3.1814635180137414e-07,0.0013527550463800476,0.0012511254601280807,-0.00010162958625196689,0.9986246232535632,0.9987259346934633,0.00010131143990010916,0.13221436860871905,0.12992696279601723,-0.002287405812701815,0.9889432411553912,0.9889432411553912,True,faster-whisper:base,heuristic_fallback_with_local_asr,0.9752281616688396,0.9673202614379085
kcW4ABcY3zI_c0005_s001,en-IN,A well educated mind,data/raw_segments/kcW4ABcY3zI_c0005_s001_raw.wav,data/final/kcW4ABcY3zI_c0005_s001.wav,29.7,29.7,0.0,16000,24000,40.88213018914068,40.8161410173258,-0.06598917181488417,0.0,0.0,0.0,-17.171184433729263,-23.048458233904,-5.877273800174738,-0.11151299909997478,-5.790413505629065,0.6646464646464646,0.6616161616161617,-0.003030303030302939,0.3353535353535354,0.33838383838383834,0.003030303030302939,-17.00981928094718,-22.888044903467396,-5.878225622520215,5.99018071905282,0.11195509653260416,-5.878225622520215,39.66414669061675,39.40914182424925,-0.25500486636749997,17.059671434629287,17.258044728274935,0.19837329364564837,-7.814349550189393e-07,-3.309496056484989e-07,-4.5048534937044046e-07,0.03961860165987584,0.027032694188649273,-0.012585907471226565,1687.5180063028645,1661.3560444831417,-26.16196181972282,2.7652466365489076e-05,2.8045772843923694e-05,3.9330647843461864e-07,0.000751328378509825,0.0007239910437438732,-2.733733476595183e-05,0.9992210191551248,0.9992479631834118,2.6944028286957078e-05,0.1298297270250269,0.12933881778121636,-0.0004909092438105389,0.9956312078519713,0.9956312078519713,True,faster-whisper:base,heuristic_fallback_with_local_asr,1.0,1.0
sKvMxZ284AA_c0014_s001,en-IN,How SHE became an IAS officer,data/raw_segments/sKvMxZ284AA_c0014_s001_raw.wav,data/final/sKvMxZ284AA_c0014_s001.wav,29.1,29.1,0.0,16000,24000,30.424555972678373,30.347355277709333,-0.07720069496904003,0.0,0.0,0.0,-19.884439880324134,-23.974827914648987,-4.090388034324853,-1.6105981062011527,-5.400719633097851,0.5865979381443299,0.5917525773195876,0.005154639175257714,0.4134020618556701,0.40824742268041236,-0.005154639175257714,-19.288321004589225,-23.393996972656847,-4.105675968067622,3.711678995410775,0.3939969726568471,-3.317682022753928,27.927534086896188,27.796536294108407,-0.130997792787781,18.27384177412298,18.574108281551137,0.3002665074281552,-1.984579866284767e-05,-1.246422836461018e-05,-7.381570298237489e-06,0.05186132081895603,0.03466378659804137,-0.017197534220914662,2114.763370869505,2072.3537435350468,-42.40962733445804,0.007186992340468408,0.0072991436170416245,0.00011215127657321616,0.003916724456585823,0.0035508947755344407,-0.0003658296810513822,0.9888962832029456,0.989149961607424,0.00025367840447831913,0.15723568423763737,0.1554462139423077,-0.0017894702953296648,0.9947784281346151,0.9947784281346151,True,faster-whisper:base,heuristic_fallback_with_local_asr,0.6277205040091638,0.9508196721311475
9Q7Zl3OI4us_c0021_s000,en-IN,The 3 Myths of the Indian Education System,data/raw_segments/9Q7Zl3OI4us_c0021_s000_raw.wav,data/final/9Q7Zl3OI4us_c0021_s000.wav,29.7,29.7,0.0,16000,24000,38.742088906923854,38.6840025262307,-0.05808638069315464,0.0,0.0,0.0,-26.957914622413416,-24.776529619291363,2.1813850031220525,-7.168934762543863,-4.385351248085659,0.6595959595959596,0.6646464646464646,0.005050505050504972,0.3404040404040404,0.3353535353535354,-0.005050505050504972,-26.182875606193658,-24.064173728059114,2.1187018781345444,3.182875606193658,1.0641737280591137,-2.1187018781345444,37.71229061354592,37.56309146480193,-0.14919914874398899,19.788979859869553,20.391178371205704,0.6021985113361517,-4.814032352331913e-06,-5.945790094960017e-06,1.1317577426281039e-06,0.04181781207623871,0.02859048190706636,-0.013227330169172352,1828.7036329384837,1806.0116258246062,-22.69200711387748,0.00012505327991775905,0.00012606189918395322,1.0086192661941655e-06,0.000923332299196396,0.0008212815270895759,-0.00010205077210682012,0.998951614420886,0.9990526565737264,0.00010104215284045814,0.14078793561625402,0.14006313492330463,-0.00072480069294939,0.9992050866586407,0.9992050866586407,True,faster-whisper:base,heuristic_fallback_with_local_asr,0.9641760491299898,0.9595959595959594
dpbp_B9dm0PC0_b8_c0021_s000,en-IN,Broken English,data/raw_segments/dpbp_B9dm0PC0_b8_c0021_s000_raw.wav,data/final/dpbp_B9dm0PC0_b8_c0021_s000.wav,25.2798125,25.279833333333332,2.0833333334024928e-05,16000,24000,42.78979755580873,42.864046599684016,0.07424904387528386,0.0,0.0,0.0,-23.997356987677282,-24.52237105602425,-0.5250140683469695,-2.3193316691053094,-3.023233186905623,0.6876484560570071,0.6912114014251781,0.0035629453681710332,0.3123515439429929,0.3087885985748219,-0.0035629453681710332,-23.28327627779523,-23.822676793401445,-0.5394005156062143,0.2832762777952311,0.8226767934014454,0.5394005156062143,42.46136741403489,41.56473150746177,-0.8966359065731169,21.678025318571976,21.49913786911863,-0.17888744945334523,-1.372727785278891e-06,-1.1003039667395865e-06,-2.7242381853930453e-07,0.07915292939902781,0.054738012916594574,-0.024414916482433234,2055.4634999767095,2009.916295109005,-45.54720486770452,3.5712817392735158e-06,3.66067751494955e-06,8.939577567603433e-08,0.0022540293221323493,0.002062926360852393,-0.0001911029612799561,0.9977423993961283,0.997933412961633,0.00019101356550466075,0.17854096617879747,0.17630290743670887,-0.0022380587420886,0.9999619847435369,0.9999619847435369,True,pipeline_asr,heuristic_fallback_with_transcript,0.9879839786381842,0.9875
