audio_path,raw_segment_path,language,duration_s,source_title,source_url,source_start_time_seconds,source_end_time_seconds,transcript,pipeline_emotion,pipeline_style,emotion_status,emotion_failure_reason,emotion_review_required,manual_emotion,manual_style,manual_transcript,keep_y_n,notes
data/final/9Q7Zl3OI4us_c0008_s001.wav,data/raw_segments/9Q7Zl3OI4us_c0008_s001_raw.wav,en-IN,24.4,The 3 Myths of the Indian Education System,https://www.youtube.com/watch?v=9Q7Zl3OI4us,217.53,241.92999999999998,"I come back to the original question. What is the point of the education system in India? So I don't know the answer to this question. It has bugged me for a while. But then I can give you, many of you might have asked the same question as well. So I can give you a fresh perspective, which is why I named this talk three myths of the Indian education system. Why three? Because it felt like an auspicious number.",sarcastic,expressive,heuristic_text_source_prosody_v2,LLM unavailable; repaired with transcript/source/prosody heuristic v2,True,,,,,
data/final/B9dm0PC0_b8_c0023_s000.wav,data/raw_segments/B9dm0PC0_b8_c0023_s000_raw.wav,en-IN,29.0,Broken English,https://www.youtube.com/watch?v=B9dm0PC0_b8,365.95,394.95,"The truth is, there are no superheroes. There's just us. We are the ones that we have been waiting for. So the third and final lesson that I'd love to share with you is that there are critical moments in your life where you have to make a decision about who you are. And in those moments, let your heart guide you. It was 2012. I had graduated from Stanford. I had an offer to join McKinsey and Company, which was a dream job for any Stanford graduate.",neutral,conversational,heuristic_text_source_prosody_v2,LLM unavailable; repaired with transcript/source/prosody heuristic v2,True,,,,,
data/final/Ju9ONXG-KdA_c0018_s000.wav,data/raw_segments/Ju9ONXG-KdA_c0018_s000_raw.wav,en-IN,28.6,Courage to begin,https://www.youtube.com/watch?v=Ju9ONXG-KdA,690.13,718.73,"English is not only about learning grammar, vocabulary or watching random videos on YouTube. If you are doing that, then let me tell you you are doing the wrong thing. English is the game of mindset plus skill set. Now, what is the mindset? The theme of our today's talk, courage to begin, because courage is always important than content. Yes or no, All of you, you have to create that mindset.",excited,expressive,heuristic_text_source_prosody_v2,LLM unavailable; repaired with transcript/source/prosody heuristic v2,True,,,,,
data/final/SAc_Z4qAs3E_c0007_s000.wav,data/raw_segments/SAc_Z4qAs3E_c0007_s000_raw.wav,en-IN,29.6,Be the CEO of your own life,https://www.youtube.com/watch?v=SAc_Z4qAs3E,122.11,151.71,"Our instructor told me in a crisp tone, Sani Alji, Yaabe Mahilao ke liya laksa training nehi hoti. Meaning that I had to do every single bit of activity which my other male colleagues had to do. Well, fair enough. And so it began. Rackling down hills, riding horses, handling guns, lobbing grenades. But by God it was not easy.",formal,authoritative,heuristic_text_source_prosody_v2,LLM unavailable; repaired with transcript/source/prosody heuristic v2,False,,,,,
data/final/dpbp_XSXq8CRKAtQ_c0001_s010.wav,data/raw_segments/dpbp_XSXq8CRKAtQ_c0001_s010_raw.wav,en-IN,25.63,Geography NCERT,https://www.youtube.com/watch?v=XSXq8CRKAtQ,318.33000000000004,343.964875,"So if you see all these three questions, answer the dynamic interaction between human beings and their physical environment. Now we're going to read about geography as an integrating discipline.",formal,authoritative,heuristic_text_source_prosody_v2,LLM unavailable; repaired with transcript/source/prosody heuristic v2,False,,,,,
data/final/eSa9YEA7aN4_c0007_s005.wav,data/raw_segments/eSa9YEA7aN4_c0007_s005_raw.wav,en-IN,29.7,Speak Like a Pro,https://www.youtube.com/watch?v=eSa9YEA7aN4,823.11,852.81,"If you want to sound like a leader, if you want to stand out as a speaker, purses are extremely important. So the next time when you speak, try to take pause every once in a while that will make your confident and credible speaker. Next one is this, body language. You know, in the field of communication skills, out of 100%, only 7% are awards, 7% that's crazy like your words grammar and stuff.",formal,authoritative,heuristic_text_source_prosody_v2,LLM unavailable; repaired with transcript/source/prosody heuristic v2,False,,,,,
data/final/kcW4ABcY3zI_c0005_s001.wav,data/raw_segments/kcW4ABcY3zI_c0005_s001_raw.wav,en-IN,29.7,A well educated mind,https://www.youtube.com/watch?v=kcW4ABcY3zI,601.2900000000001,630.99,"have some academic learning, lots of vocational training, and at the end of two years, if they show tremendous academic promise, they can go back to a university. If not, they leave with a two-year certificate, and they go off into a useful trade in a society that is clamoring for these skills. So these are the kinds of changes that we are trying to bring about and move along. But there's a change that the government alone can't do. You know, if you look at the need for research and innovation, you've heard a lot of that. I'm sure in the course of the TED Talks. Research is something.",formal,authoritative,heuristic_text_source_prosody_v2,LLM unavailable; repaired with transcript/source/prosody heuristic v2,False,,,,,
data/final/sKvMxZ284AA_c0014_s001.wav,data/raw_segments/sKvMxZ284AA_c0014_s001_raw.wav,en-IN,29.1,How SHE became an IAS officer,https://www.youtube.com/watch?v=sKvMxZ284AA,454.07,483.17,"Well, the first day of my college was the worst day of my college to be frank because what happened when I entered the college, there was chemistry lab that was going on. I entered the class and the man was taking lab. She asked me, okay, you go and do titration. Titration. In my village, there was no lab. I do not know the meaning of titration in Hindi. So I was standing there black. Again, I looked at the map. She see I will go there and pick up the test tube.",concerned,expressive,heuristic_text_source_prosody_v2,LLM unavailable; repaired with transcript/source/prosody heuristic v2,False,,,,,
data/final/9Q7Zl3OI4us_c0021_s000.wav,data/raw_segments/9Q7Zl3OI4us_c0021_s000_raw.wav,en-IN,29.7,The 3 Myths of the Indian Education System,https://www.youtube.com/watch?v=9Q7Zl3OI4us,488.91,518.61,"And two, this is a question a lot of people ask, why am I studying differentiation? Why am I studying integration? What is the point of this? So, but that's the thing with our syllabus. Unless a teacher tells you, you're not going to find out what it's used for. Ask any student whether they fully understand why they are studying, what they're studying. They really don't know. In most of them, at least, unless, like I said, or, and this is a day and age when you can access anything on the internet, as clearly shown.",sarcastic,expressive,heuristic_text_source_prosody_v2,LLM unavailable; repaired with transcript/source/prosody heuristic v2,True,,,,,
data/final/dpbp_B9dm0PC0_b8_c0021_s000.wav,data/raw_segments/dpbp_B9dm0PC0_b8_c0021_s000_raw.wav,en-IN,25.28,Broken English,https://www.youtube.com/watch?v=B9dm0PC0_b8,323.75,349.0298125,"And that's what I did. It was one of the most profoundly moving experiences of my life. And the girl who I arranged all of this for was no other than eleven-year-old Malala. What this taught me was that anything I wanted to change, I had the power to effect. Sitting in my dorm room at Stanford, sipping my jamba juice, I had found a way to effect the life of a girl in the Swat Valley.",neutral,conversational,heuristic_text_source_prosody_v2,LLM unavailable; repaired with transcript/source/prosody heuristic v2,True,,,,,
data/final/Ju9ONXG-KdA_c0004_s000.wav,data/raw_segments/Ju9ONXG-KdA_c0004_s000_raw.wav,en-IN,28.6,Courage to begin,https://www.youtube.com/watch?v=Ju9ONXG-KdA,100.15,128.75,"His child often seen him talking and saying to his colleagues, my son, full in English, my son, full in English. One day that child curiously asked, Papa, why do you say this again and again? Don't you know I am a student of Gujarati medium? Even there is no any English medium school in the entire Thaisil. How could you say that?",concerned,expressive,heuristic_text_source_prosody_v2,LLM unavailable; repaired with transcript/source/prosody heuristic v2,True,,,,,
data/final/dpbp_SAc_Z4qAs3E_c0068_s003.wav,data/raw_segments/dpbp_SAc_Z4qAs3E_c0068_s003_raw.wav,en-IN,26.7,Be the CEO of your own life,https://www.youtube.com/watch?v=SAc_Z4qAs3E,1009.77,1036.4698125,"You must have your support group and you must have your team of mentors and guides because they are the ones who will stand beside you. So pick out on those people who you think are going to help you evolve. And most importantly, please, all the young ladies and all the girls in this audience, please take a pledge to stand beside and behind.",formal,authoritative,heuristic_text_source_prosody_v2,LLM unavailable; repaired with transcript/source/prosody heuristic v2,False,,,,,
data/final/XSXq8CRKAtQ_c0001_s012.wav,data/raw_segments/XSXq8CRKAtQ_c0001_s012_raw.wav,en-IN,28.5,Geography NCERT,https://www.youtube.com/watch?v=XSXq8CRKAtQ,374.03000000000003,402.53000000000003,"And if you look at your geography textbook, we have chapters dedicated to every single topics that I just mentioned. And by having a fair knowledge about all these topics, it will be easier to integrate them and understand the earth as a single entity, which is what geography is helping us in doing it. I hope you are getting what I mean. Now another important aspect of geography is time. Time is an integral part of geographical studies. And the reason we say that is because every geographical phenomenon.",formal,authoritative,heuristic_text_source_prosody_v2,LLM unavailable; repaired with transcript/source/prosody heuristic v2,False,,,,,
data/final/eSa9YEA7aN4_c0007_s001.wav,data/raw_segments/eSa9YEA7aN4_c0007_s001_raw.wav,en-IN,25.1,Speak Like a Pro,https://www.youtube.com/watch?v=eSa9YEA7aN4,734.01,759.11,"you know, relentless, reckless, right? So that's why it's very, very important. Number three, which is probably the most important reason why you must take pauses. When you pause, you get rid of all the arms and ass, you know, et cetera, et cetera. And I call this as non words and the fillers. I'm telling you, the more non words and the fillers you use in your speech, the less credible you sound.",formal,authoritative,heuristic_text_source_prosody_v2,LLM unavailable; repaired with transcript/source/prosody heuristic v2,False,,,,,
data/final/kcW4ABcY3zI_c0004_s009.wav,data/raw_segments/kcW4ABcY3zI_c0004_s009_raw.wav,en-IN,22.7,A well educated mind,https://www.youtube.com/watch?v=kcW4ABcY3zI,454.63,477.33,"And people think sometimes of what's the point? Some of their own family members, their husbands think what's the point? The answer is, it changes their lives, it empowers them in real ways. I spoke to a woman called Chitra Money, who told me proudly wrote her name in Tamil on a piece of paper. And I said, so what is being able to read mean and read and write mean to you? And she said, now I can see the destination of the bus where it's going.",formal,authoritative,heuristic_text_source_prosody_v2,LLM unavailable; repaired with transcript/source/prosody heuristic v2,False,,,,,
data/final/dpbp_sKvMxZ284AA_c0015_s000.wav,data/raw_segments/dpbp_sKvMxZ284AA_c0015_s000_raw.wav,en-IN,9.92,How SHE became an IAS officer,https://www.youtube.com/watch?v=sKvMxZ284AA,484.35,494.269875,First time in my life I had seen the test tube and I I I took that and it broke. And I was like oh my god what I have done. Anyhow I was hiding.,concerned,expressive,heuristic_text_source_prosody_v2,LLM unavailable; repaired with transcript/source/prosody heuristic v2,False,,,,,
data/final/dpbp_9Q7Zl3OI4us_c0014_s001.wav,data/raw_segments/dpbp_9Q7Zl3OI4us_c0014_s001_raw.wav,en-IN,22.62,The 3 Myths of the Indian Education System,https://www.youtube.com/watch?v=9Q7Zl3OI4us,384.35,406.96975000000003,of learning but that's not what Macaulay wanted. He wanted education to have a purpose. And he said it should be utilitarian and back then the East India Company needed clerks. They needed people to sit at a desk do as they're told without getting too creative. Sounds familiar does it not?,sarcastic,expressive,heuristic_text_source_prosody_v2,LLM unavailable; repaired with transcript/source/prosody heuristic v2,True,,,,,
data/final/B9dm0PC0_b8_c0011_s000.wav,data/raw_segments/B9dm0PC0_b8_c0011_s000_raw.wav,en-IN,18.9,Broken English,https://www.youtube.com/watch?v=B9dm0PC0_b8,197.91,216.81,"You will learn more than you can ever imagine. The second lesson that I learned in life was that you have the power to influence anything that you are truly passionate about. When I was 18 years old, I got a scholarship to go to Stanford University. I was thrilled. My world opened up for me.",neutral,conversational,heuristic_text_source_prosody_v2,LLM unavailable; repaired with transcript/source/prosody heuristic v2,True,,,,,
data/final/dpbp_Ju9ONXG-KdA_c0013_s004.wav,data/raw_segments/dpbp_Ju9ONXG-KdA_c0013_s004_raw.wav,en-IN,25.96,Courage to begin,https://www.youtube.com/watch?v=Ju9ONXG-KdA,399.49,425.44906249999997,"I have done. Okay. I have learnt, I worked on myself and we have done the same thing. Me and my brother and the course and everything was going good. But.",excited,expressive,heuristic_text_source_prosody_v2,LLM unavailable; repaired with transcript/source/prosody heuristic v2,True,,,,,
data/final/dpbp_SAc_Z4qAs3E_c0063_s000.wav,data/raw_segments/dpbp_SAc_Z4qAs3E_c0063_s000_raw.wav,en-IN,27.04,Be the CEO of your own life,https://www.youtube.com/watch?v=SAc_Z4qAs3E,918.61,945.6497499999999,It's absolutely fine. We all go through it. But what you also need to realize is that positive affirmations and self-belief will allow you and will make you competent to face any challenge which life throws at you. So that portion you also need to do.,formal,authoritative,heuristic_text_source_prosody_v2,LLM unavailable; repaired with transcript/source/prosody heuristic v2,False,,,,,
data/final/XSXq8CRKAtQ_c0001_s003.wav,data/raw_segments/XSXq8CRKAtQ_c0001_s003_raw.wav,en-IN,26.7,Geography NCERT,https://www.youtube.com/watch?v=XSXq8CRKAtQ,141.93,168.63,"Geo means earth and graphose means description, so it is the description of earth that we are trying to understand in geography. Now geography has many disciplines like natural science and social science. Under natural sciences we have geology, pedology, oceanography, botany, zoology, meteorology etc. And under social science we have economics, history, sociology, political science, anthropology etc.",formal,authoritative,heuristic_text_source_prosody_v2,LLM unavailable; repaired with transcript/source/prosody heuristic v2,True,,,,,
data/final/dpbp_eSa9YEA7aN4_c0005_s006.wav,data/raw_segments/dpbp_eSa9YEA7aN4_c0005_s006_raw.wav,en-IN,20.92,Speak Like a Pro,https://www.youtube.com/watch?v=eSa9YEA7aN4,658.4100000000001,679.329375,"you speak is using variations, emotions and tonality in your speaking. Trust me, speaking with the perfect tonality and voice modulation literally change the way I present myself and I teach.",formal,authoritative,heuristic_text_source_prosody_v2,LLM unavailable; repaired with transcript/source/prosody heuristic v2,False,,,,,
data/final/kcW4ABcY3zI_c0005_s000.wav,data/raw_segments/kcW4ABcY3zI_c0005_s000_raw.wav,en-IN,17.3,A well educated mind,https://www.youtube.com/watch?v=kcW4ABcY3zI,583.2900000000001,600.59,"So we need to get master craftsman, and why is it with a country of 1.2 billion people that we should have a nationwide shortage of Missons, of plumbers, of certified electricians? We need to get more vocational training into the system. We're doing that. We're now rolling out the whole concept of community colleges so that kids can go in.",formal,authoritative,heuristic_text_source_prosody_v2,LLM unavailable; repaired with transcript/source/prosody heuristic v2,False,,,,,
data/final/dpbp_sKvMxZ284AA_c0004_s000.wav,data/raw_segments/dpbp_sKvMxZ284AA_c0004_s000_raw.wav,en-IN,23.14,How SHE became an IAS officer,https://www.youtube.com/watch?v=sKvMxZ284AA,113.91,137.047875,"In fifth class, something good happened with me that I remember till date. I got hundred out of hundred in my mathematics paper. Fifth class was a board class. So my teacher called me and she said... Let's see, I have never seen anybody scoring full marks that too in mathematics, that too in board exam. You have done this, so I think you are going to do something good in studies.",concerned,expressive,heuristic_text_source_prosody_v2,LLM unavailable; repaired with transcript/source/prosody heuristic v2,False,,,,,
